code,name,exchange,weight_percent
000300,沪深300,上海证券交易所,0.165
000300,沪深300,上海证券交易所,0.278
000300,沪深300,上海证券交易所,0.255
000300,沪深300,上海证券交易所,0.138
000300,沪深300,上海证券交易所,0.119
000300,沪深300,上海证券交易所,0.193
000300,沪深300,上海证券交易所,0.104
000300,沪深300,上海证券交易所,4.129
000300,沪深300,上海证券交易所,0.245
000300,沪深300,上海证券交易所,0.253
000300,沪深300,上海证券交易所,0.232
000300,沪深300,上海证券交易所,0.261
000300,沪深300,上海证券交易所,0.15
000300,沪深300,上海证券交易所,0.111
000300,沪深300,上海证券交易所,0.405
000300,沪深300,上海证券交易所,0.141
000300,沪深300,上海证券交易所,0.431
000300,沪深300,上海证券交易所,0.128
000300,沪深300,上海证券交易所,0.33
000300,沪深300,上海证券交易所,0.189
000300,沪深300,上海证券交易所,0.079
000300,沪深300,上海证券交易所,0.404
000300,沪深300,上海证券交易所,0.099
000300,沪深300,上海证券交易所,0.114
000300,沪深300,上海证券交易所,0.175
000300,沪深300,上海证券交易所,0.802
000300,沪深300,上海证券交易所,0.261
000300,沪深300,上海证券交易所,1.575
000300,沪深300,上海证券交易所,0.287
000300,沪深300,上海证券交易所,0.086
000300,沪深300,上海证券交易所,0.767
000300,沪深300,上海证券交易所,0.377
000300,沪深300,上海证券交易所,0.289
000300,沪深300,上海证券交易所,0.453
000300,沪深300,上海证券交易所,0.272
000300,沪深300,上海证券交易所,0.158
000300,沪深300,上海证券交易所,0.307
000300,沪深300,上海证券交易所,0.366
000300,沪深300,上海证券交易所,0.394
000300,沪深300,上海证券交易所,0.442
000300,沪深300,上海证券交易所,0.118
000300,沪深300,上海证券交易所,0.157
000300,沪深300,上海证券交易所,0.073
000300,沪深300,上海证券交易所,0.154
000300,沪深300,上海证券交易所,0.194
000300,沪深300,上海证券交易所,0.582
000300,沪深300,上海证券交易所,0.183
000300,沪深300,上海证券交易所,0.126
000300,沪深300,上海证券交易所,0.135
000300,沪深300,上海证券交易所,0.479
000300,沪深300,上海证券交易所,0.051
000300,沪深300,上海证券交易所,0.636
000300,沪深300,上海证券交易所,1.74
000300,沪深300,上海证券交易所,0.441
000300,沪深300,上海证券交易所,0.171
000300,沪深300,上海证券交易所,1.061
000300,沪深300,上海证券交易所,0.361
000300,沪深300,上海证券交易所,0.47
000300,沪深300,上海证券交易所,0.057
000300,沪深300,上海证券交易所,0.077
000300,沪深300,上海证券交易所,0.93
000300,沪深300,上海证券交易所,2.921
000300,沪深300,上海证券交易所,0.121
000300,沪深300,上海证券交易所,0.944
000300,沪深300,上海证券交易所,0.258
000300,沪深300,上海证券交易所,0.183
000300,沪深300,上海证券交易所,0.208
000300,沪深300,上海证券交易所,0.27
000300,沪深300,上海证券交易所,1.225
000300,沪深300,上海证券交易所,0.272
000300,沪深300,上海证券交易所,0.593
000300,沪深300,上海证券交易所,0.074
000300,沪深300,上海证券交易所,0.1
000300,沪深300,上海证券交易所,0.315
000300,沪深300,上海证券交易所,0.125
000300,沪深300,上海证券交易所,0.293
000300,沪深300,上海证券交易所,0.541
000300,沪深300,上海证券交易所,0.272
000300,沪深300,上海证券交易所,0.474
000300,沪深300,上海证券交易所,0.185
000300,沪深300,上海证券交易所,0.078
000300,沪深300,上海证券交易所,0.076
000300,沪深300,上海证券交易所,0.538
000300,沪深300,上海证券交易所,0.416
000300,沪深300,上海证券交易所,0.164
000300,沪深300,上海证券交易所,0.078
000300,沪深300,上海证券交易所,0.151
000300,沪深300,上海证券交易所,0.038
000300,沪深300,上海证券交易所,0.733
000300,沪深300,上海证券交易所,0.348
000300,沪深300,上海证券交易所,0.243
000300,沪深300,上海证券交易所,0.217
000300,沪深300,上海证券交易所,0.465
000300,沪深300,上海证券交易所,0.057
000300,沪深300,上海证券交易所,0.155
000300,沪深300,上海证券交易所,0.091
000300,沪深300,上海证券交易所,0.113
000300,沪深300,上海证券交易所,0.144
000300,沪深300,上海证券交易所,0.173
000300,沪深300,上海证券交易所,0.293
000300,沪深300,上海证券交易所,0.1
000300,沪深300,上海证券交易所,1.459
000300,沪深300,上海证券交易所,0.155
000300,沪深300,上海证券交易所,0.236
000300,沪深300,上海证券交易所,0.456
000300,沪深300,上海证券交易所,0.369
000300,沪深300,上海证券交易所,0.35
000300,沪深300,上海证券交易所,0.367
000300,沪深300,上海证券交易所,0.247
000300,沪深300,上海证券交易所,0.196
000300,沪深300,上海证券交易所,0.201
000300,沪深300,上海证券交易所,0.467
000300,沪深300,上海证券交易所,0.059
000300,沪深300,上海证券交易所,1.113
000300,沪深300,上海证券交易所,0.086
000300,沪深300,上海证券交易所,0.296
000300,沪深300,上海证券交易所,0.116
000300,沪深300,上海证券交易所,0.136
000300,沪深300,上海证券交易所,0.103
000300,沪深300,上海证券交易所,0.478
000300,沪深300,上海证券交易所,0.278
000300,沪深300,上海证券交易所,0.071
000300,沪深300,上海证券交易所,0.044
000300,沪深300,上海证券交易所,0.372
000300,沪深300,上海证券交易所,0.29
000300,沪深300,上海证券交易所,0.085
000300,沪深300,上海证券交易所,0.271
000300,沪深300,上海证券交易所,0.45
000300,沪深300,上海证券交易所,0.063
000300,沪深300,上海证券交易所,0.4
000300,沪深300,上海证券交易所,0.161
000300,沪深300,上海证券交易所,0.598
000300,沪深300,上海证券交易所,0.097
000300,沪深300,上海证券交易所,0.051
000300,沪深300,上海证券交易所,0.336
000300,沪深300,上海证券交易所,0.142
000300,沪深300,上海证券交易所,0.166
000300,沪深300,上海证券交易所,0.053
000300,沪深300,上海证券交易所,0.097
000300,沪深300,上海证券交易所,0.685
000300,沪深300,上海证券交易所,0.305
000300,沪深300,上海证券交易所,0.077
000300,沪深300,上海证券交易所,0.115
000300,沪深300,上海证券交易所,0.061
000300,沪深300,上海证券交易所,0.114
000300,沪深300,上海证券交易所,0.094
000300,沪深300,上海证券交易所,0.823
